AICAR,VCAM1_rna,TEFM_rna,RP11-727A23.5_rna,FAM72C_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptothecin,NDE1_rna,NDUFAF5_rna,TMC5_rna,CNOT6_rna,MSH6_rna,C16orf58_rna,SLC17A4_rna,RCAN1_rna,SMCP_rna,SOCS5_rna,CCL19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinblastine,XYLT2_rna,CEACAM6_rna,GLI1_rna,RAP2A_rna,RGS10_rna,SEC24D_rna,CACNA1D_rna,SNF8_rna,FOXL2_rna,OLFML2A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC-0449,HOMER2_rna,B9D1_rna,EIF5A_rna,RTF1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX4720,CST7_rna,GPR143_rna,HDAC5_rna,CCRL2_rna,IDO1_rna,CCL19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX-795,BID_rna,HMGB3_rna,PRKRIP1_rna,THNSL2_rna,MAB21L2_rna,MKL2_rna,SEPP1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU-7441,ATP11A_rna,FGF21_rna,IRF6_rna,BSPRY_rna,GRHPR_rna,RAB20_rna,TGFB1I1_rna,PLIN2_rna,NMT2_rna,CRTAP_rna,PRKCDBP_rna,TUBB6_rna,PCP4_rna,ABAT_rna,ADAMTSL2_rna,ZMYND10_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL 0101-1,LZTS1_rna,TRAF4_rna,PRRG3_rna,ZNF557_rna,OSBPL10_rna,MOCS2_rna,C9orf9_rna,UPP1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRB 0796,LCP2_rna,PDE8B_rna,PLCH1_rna,ZNF254_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNK Inhibitor VIII,CCL8_rna,H2AFY_rna,SLC10A2_rna,LOXL2_rna,DHX9_rna,CD96_rna,EPB41_rna,LARP6_rna,MLLT3_rna,CUEDC1_rna,DLGAP2_rna,KLHL9_rna,CDKN2A-AS1_cnv,RNU6-2_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681640,ZNF302_rna,ALKBH1_rna,HIST3H3_rna,LGALS9_rna,NFRKB_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutlin-3,PHACTR2_rna,H2AFY_rna,CHMP3_rna,DOCK1_rna,GRIK2_rna,SIX2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD173074,ALG13_rna,PSPN_rna,CD300C_rna,LPHN3-AS1_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM-447439,CCNB1IP1_rna,CA2_rna,CHD4_rna,C3orf14_rna,SLC2A4RG_rna,KIDINS220_rna,PTPRD_rna,CASP7_rna,VSIG10_rna,LOC440704_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-3306,YBX2_rna,C19orf10_rna,TIPIN_rna,GLRA2_rna,RPA2_rna,SQRDL_rna,HSPA4L_rna,CKB_rna,LALBA_rna,KLF13_rna,CEBPB_rna,HLA-E_rna,KRT8P12_rna,MTAP_cnv,PRDM2_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK-2206,EIF3D_rna,STX10_rna,GFI1_rna,JUN_rna,DSC1_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD-0332991,DERL2_rna,SSH1_rna,PLOD3_rna,SMURF2_rna,TMEM97_rna,PASK_rna,SERPINB6_rna,ATXN1_rna,UPF3B_rna,IVD_rna,ARPC1B_rna,NT5E_rna,TACO1_rna,PHLDA1_rna,TMSB15A_rna,USP1_rna,C2orf44_rna,CTSB_rna,HTR3A_rna,BEST1_rna,GDNF_rna,PPM1D_rna,FLII_rna,PLEC_rna,RP11-181G12.2_rna,TAX1BP3_rna,,,,,,,,,,,,,,,,,,,,,,,,
NVP-BEZ235,C3orf14_rna,ACADM_rna,ACOT9_rna,SOX9_rna,ZC4H2_rna,GCH1_rna,SST_rna,TEFM_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC-0941,TEKT2_rna,FGF14_rna,TIMM8A_rna,TAGLN2_rna,CALCB_rna,MAF_rna,MAGI2_rna,MIR6880_cnv,NT5DC3_cnv,SFSWAP_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD8055,ABHD11_rna,CYTH1_rna,HUNK_rna,LPAR3_rna,ZNF665_rna,F5_rna,HLA-DOB_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD-0325901,TFPI_rna,TNFRSF12A_rna,RHBDF1_rna,TACC3_rna,GLT8D1_rna,CYFIP2_rna,FNDC3B_rna,RBL1_rna,CXCL2_rna,SRRT_rna,RAB11FIP3_rna,ORC6_rna,SCFD1_rna,PYGL_rna,TIMP1_rna,SH3GL2_rna,DHRS7B_rna,CCND1_rna,FAM184A_rna,SLC16A10_rna,ALMS1_rna,ESPL1_rna,TUBB2B_rna,IER3_rna,OSMR_rna,NFIB_rna,GSN_rna,NCAM1_rna,HIRIP3_rna,DOCK1_rna,SETBP1_rna,CAST_rna,RBMS1_rna,RECQL4_rna,F2RL1_rna,ERAP1_rna,CTSB_rna,KIF5C_rna,CNBP_rna,ATP6V0E2_rna,PRNP_rna,LAMB2_rna,SCAI_rna,POLE_rna,FLII_rna,IFITM2_rna,FANCA_rna,H2AFX_rna,SLC22A4_rna,TNFAIP8_cnv
SB590885,PXN_rna,SMURF2_rna,RARRES1_rna,PTPRE_rna,CDCP1_rna,ACAA2_rna,AGTR2_rna,ERP27_cnv,LINC00290_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD6244,TFPI_rna,TIMP1_rna,VWA5A_rna,LMO4_rna,POLE_rna,MGAT4C_rna,PAPSS2_rna,CFI_rna,TSPYL1_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD6482,CRMP1_rna,MAPK10_rna,RGS16_rna,AGAP4_cnv,ASAH2_cnv,VSTM4_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT007093,FKBP3_rna,KIAA0226L_rna,LRAT_rna,CDC42EP1_rna,TCF7L2_rna,XPC_rna,TSPAN5_rna,RP11-727A23.5_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHT 1864,CDC27_rna,LCP2_rna,OGFRL1_rna,SLC31A2_rna,NF1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMS-708163,VASH1_rna,RIMS3_rna,CCDC91_rna,BTG1_rna,ATP6V0E2_rna,IRX5_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-4708671,HGF_rna,MSMO1_rna,FAT1_rna,BIN2_rna,PARD6B_rna,MIP_rna,CSH1_rna,LCE2B_rna,LRRC3_rna,COX7A1_rna,C19orf24_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNJ-26854165,TNC_rna,DCBLD2_rna,STK17B_rna,FAM48A_rna,SUV420H1_rna,PDLIM4_rna,RTN3_rna,ARGLU1_rna,SETBP1_rna,IL7R_rna,HECTD4_rna,EXOSC4_rna,ZNRD1-AS1_rna,CELA2B_rna,B3GALT4_rna,EDNRB-AS1_cnv,OSCP1_cnv,ST6GAL1_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW 37,SNW1_rna,GLI1_rna,LARS_rna,PDSS1_rna,RUVBL1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCT018159,MARCO_rna,FCER2_rna,TCIRG1_rna,FAM5C_rna,NR2C2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG-014699,PIEZO1_rna,LIMD2_rna,SYT2_rna,ZFAND6_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doxorubicin,AK2_rna,STAP1_rna,IFI35_rna,JOSD1_rna,MAP2K6_rna,STK38_rna,LRP4_rna,CBR4_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etoposide,SYT17_rna,GARS_rna,MDM1_rna,SPTBN1_rna,TGM3_rna,C16orf58_rna,MAGEC1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemcitabine,HGF_rna,EZR_rna,USP10_rna,CD8A_rna,HEATR3_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitomycin-C,SPAST_rna,STAP1_rna,CHI3L2_rna,PTPN1_rna,TRIM13_rna,ZNF493_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinorelbine,PVRL2_rna,GCH1_rna,LAMC1_rna,TPM4_rna,DCXR_rna,MPZL1_rna,AQP4-AS1_cnv,ME2_cnv,ZNF521_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC-87877,CDIPT_rna,CEP104_rna,UPP1_rna,CSNK1E_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
