drugName,AUC,MCC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
GDC-0449,0.794,0.468843706860463,0.72,0.446620209059233,0.366560310752925,0.937339362542411,0.516666666666667,0.239235656684198,0.728972559891678,0.69,0.76,0.781666666666667,0.707619047619048,0.781666666666667,0.69,0.710555555555555,0.494444444444444,0.3375,0.460555555555556,0.725
PLX4720,0.89675,0.674006613062778,0.809722222222222,0.6303911205074,0.457427431340238,0.964008971408119,0.516666666666667,0.139665762732882,0.638692585338065,0.82,0.815,0.851904761904762,0.8725,0.851904761904762,0.82,0.786334776334776,0.494444444444444,0.4,0.495833333333333,0.8175
BX-795,0.8375,0.5305479094117,0.758333333333333,0.519337979094077,0.403272542255022,0.94777410345786,0.516666666666667,0.184853242132869,0.916259152049656,0.73,0.795,0.775,0.761190476190476,0.775,0.73,0.741060606060606,0.494444444444444,0.358611111111111,0.464444444444444,0.7625
NU-7441,0.86575,0.618179707266675,0.801944444444444,0.605191637630662,0.445973569569999,0.963096562194309,0.516666666666667,0.130749498882478,0.942166680242995,0.815,0.795,0.798333333333333,0.828333333333333,0.798333333333333,0.815,0.798838383838384,0.494444444444444,0.402222222222222,0.508055555555556,0.805
SL 0101-1,0.81675,0.439917152715559,0.714722222222222,0.425769230769231,0.356270999890053,0.937929916402084,0.516666666666667,0.221566184945579,0.924821307898992,0.695,0.73,0.725833333333333,0.731666666666667,0.725833333333333,0.695,0.701764346764347,0.494444444444444,0.345,0.480833333333333,0.7125
BIRB 0796,0.835,0.491212288904413,0.741111111111111,0.478818011257036,0.391885258122254,0.940036996067699,0.516666666666667,0.226889289783729,0.899619466626547,0.715,0.765,0.744761904761905,0.758333333333333,0.744761904761905,0.715,0.717647907647908,0.494444444444444,0.3525,0.469444444444444,0.74
JNK Inhibitor VIII,0.86675,0.669856246850536,0.829722222222222,0.65796435272045,0.473749015535355,0.974478590374481,0.516666666666667,0.10848823538326,1,0.85,0.81,0.815,0.865,0.815,0.85,0.825021645021645,0.494444444444444,0.42,0.515833333333333,0.83
681640,0.85975,0.69106223789225,0.835833333333333,0.673212275529349,0.488251243108933,0.971447902816953,0.516666666666667,0.117665742132869,0.851285749196272,0.805,0.87,0.875,0.833095238095238,0.875,0.805,0.826139971139971,0.494444444444444,0.396111111111111,0.461944444444444,0.8375
Nutlin-3,0.85275,0.557816684688882,0.768055555555555,0.536069418386492,0.412565997562128,0.952912150602303,0.516666666666667,0.162479272269313,0.858634800130764,0.725,0.81,0.816666666666667,0.767261904761905,0.816666666666667,0.725,0.748477633477634,0.494444444444444,0.358333333333333,0.454166666666667,0.7675
PD173074,0.85675,0.588361620496087,0.771944444444444,0.538311938382542,0.412696826787806,0.955094214867416,0.516666666666667,0.156628405132478,0.590220838299518,0.72,0.815,0.84031746031746,0.815714285714286,0.84031746031746,0.72,0.735353535353535,0.494444444444444,0.358888888888889,0.451388888888889,0.7675
ZM-447439,0.849,0.609707575307839,0.799166666666667,0.596894934333959,0.444086303660971,0.96197171740376,0.516666666666667,0.13691345700706,1,0.785,0.81,0.818333333333333,0.806666666666667,0.818333333333333,0.785,0.792554112554113,0.494444444444444,0.388333333333333,0.483055555555556,0.7975
RO-3306,0.89175,0.617936030529636,0.795833333333333,0.592142857142857,0.437033003338774,0.968543139672636,0.516666666666667,0.118341347945188,0.768666720971979,0.83,0.765,0.79952380952381,0.843095238095238,0.79952380952381,0.83,0.798888888888889,0.494444444444444,0.409722222222222,0.529166666666667,0.7975
MK-2206,0.767,0.496752382484702,0.743611111111111,0.489285714285714,0.390454826504515,0.943871039129519,0.516666666666667,0.209986770596048,0.914905572767105,0.78,0.71,0.742142857142857,0.761666666666667,0.742142857142857,0.78,0.753152958152958,0.494444444444444,0.386111111111111,0.534166666666667,0.745
PD-0332991,0.90475,0.570293236139971,0.781666666666667,0.563048780487805,0.432624552563937,0.949091331190948,0.516666666666667,0.163063029018922,0.89532394006207,0.815,0.75,0.753095238095238,0.822857142857143,0.753095238095238,0.815,0.777676767676768,0.494444444444444,0.400833333333333,0.525555555555556,0.7825
NVP-BEZ235,0.8035,0.42559853355602,0.705277777777778,0.414477351916376,0.359295321391643,0.919494636263292,0.516666666666667,0.271053710498773,0.877966659794854,0.73,0.685,0.671428571428571,0.76547619047619,0.671428571428571,0.73,0.689747474747475,0.494444444444444,0.357777777777778,0.515833333333333,0.7075
GDC-0941,0.853375,0.548299316185545,0.772222222222222,0.545243902439024,0.430930555227248,0.942580288139376,0.516666666666667,0.215068019252867,1,0.775,0.77,0.768333333333333,0.783333333333333,0.768333333333333,0.775,0.769242424242424,0.494444444444444,0.386111111111111,0.505555555555556,0.7725
AZD8055,0.85875,0.599574692087719,0.790833333333333,0.58,0.437109156269337,0.958105965453881,0.516666666666667,0.145815925732491,0.84096415014711,0.745,0.835,0.831428571428571,0.790833333333333,0.831428571428571,0.745,0.769523809523809,0.494444444444444,0.368611111111111,0.451944444444444,0.79
PD-0325901,0.949,0.728659894552483,0.855555555555556,0.712142857142857,0.503459858383183,0.977996314727298,0.516666666666667,0.0744830030816316,0.851285749196272,0.875,0.84,0.854761904761905,0.888333333333333,0.854761904761905,0.875,0.855505050505051,0.494444444444444,0.433333333333333,0.516666666666667,0.8575
SB590885,0.827375,0.537568710857215,0.765555555555556,0.528818011257036,0.418905049647832,0.944102409114916,0.516666666666667,0.196170678519313,0.904268769362993,0.765,0.765,0.755,0.79047619047619,0.755,0.765,0.747979797979798,0.494444444444444,0.375833333333333,0.491666666666667,0.765
AZD6244,0.8125,0.519825804757243,0.756944444444444,0.511923076923077,0.405496607535114,0.943894070547336,0.516666666666667,0.201159655132478,0.930016647576158,0.785,0.725,0.730476190476191,0.79952380952381,0.730476190476191,0.785,0.749949494949495,0.494444444444444,0.389722222222222,0.528055555555556,0.755
AZD6482,0.768,0.377315935453121,0.676111111111111,0.351978021978022,0.324842757589639,0.914412694873179,0.516666666666667,0.297006477283729,0.74136677111934,0.64,0.71,0.731190476190476,0.678809523809524,0.731190476190476,0.64,0.650064935064935,0.494444444444444,0.318611111111111,0.466666666666667,0.675
